timestamp(ms),var,
"1718467989.195","747",
"1718467989.196","3305",
"1718467989.197","1465",
"1718467989.198","1370",
"1718467989.199","1658",
"1718467989.2","3265",
"1718467989.201","3179",
"1718467989.202","923",
"1718467989.203","775",
"1718467989.204","1977",
"1718467989.205","2314",
"1718467989.206","2747",
"1718467989.207","658",
"1718467989.208","682",
"1718467989.209","2672",
"1718467989.21","2856",
"1718467989.211","2399",
"1718467989.212","2075",
"1718467989.213","665",
"1718467989.214","816",
"1718467989.215","3160",
"1718467989.216","3273",
"1718467989.217","1770",
"1718467989.218","1457",
"1718467989.219","1387",
"1718467989.22","3326",
"1718467989.221","3253",
"1718467989.222","1150",
"1718467989.223","887",
"1718467989.224","1658",
"1718467989.225","2028",
"1718467989.226","3161",
"1718467989.227","2933",
"1718467989.228","693",
"1718467989.229","643",
"1718467989.23","2313",
"1718467989.231","2415",
"1718467989.232","714",
"1718467989.233","2954",
"1718467989.234","3098",
"1718467989.235","2064",
"1718467989.236","1751",
"1718467989.237","862",
"1718467989.238","1020",
"1718467989.239","3309",
"1718467989.24","3363",
"1718467989.241","1454",
"1718467989.242","1183",
"1718467989.243","1333",
"1718467989.244","1664",
"1718467989.245","3312",
"1718467989.246","3166",
"1718467989.247","705",
"1718467989.248","1985",
"1718467989.249","2332",
"1718467989.25","3019",
"1718467989.251","2723",
"1718467989.252","625",
"1718467989.253","619",
"1718467989.254","2678",
"1718467989.255","2900",
"1718467989.256","2427",
"1718467989.257","2097",
"1718467989.258","690",
"1718467989.259","3150",
"1718467989.26","3248",
"1718467989.261","1771",
"1718467989.262","1479",
"1718467989.263","1068",
"1718467989.264","1317",
"1718467989.265","3368",
"1718467989.266","3265",
"1718467989.267","1178",
"1718467989.268","880",
"1718467989.269","1693",
"1718467989.27","1984",
"1718467989.271","3157",
"1718467989.272","2983",
"1718467989.273","723",
"1718467989.274","598",
"1718467989.275","2658",
"1718467989.276","2705",
"1718467989.277","2448",
"1718467989.28","2905",
"1718467989.288","3090",
"1718467989.289","1463",
"1718467989.29","1658",
"1718467989.291","3298",
