timestamp(ms),var,
"1718468290.989","3235",
"1718468290.99","960",
"1718468290.991","2865",
"1718468290.992","1611",
"1718468290.993","2513",
"1718468290.994","3328",
"1718468290.995","607",
"1718468290.996","1205",
"1718468290.997","2559",
"1718468290.998","1281",
"1718468290.999","2834",
"1718468291","3344",
"1718468291.001","642",
"1718468291.002","1494",
"1718468291.003","2193",
"1718468291.004","975",
"1718468291.005","3195",
"1718468291.006","803",
"1718468291.007","1867",
"1718468291.008","1919",
"1718468291.009","832",
"1718468291.01","3216",
"1718468291.011","3081",
"1718468291.012","945",
"1718468291.013","2192",
"1718468291.014","1563",
"1718468291.015","621",
"1718468291.016","3323",
"1718468291.017","2839",
"1718468291.018","1209",
"1718468291.019","1277",
"1718468291.02","597",
"1718468291.021","3339",
"1718468291.022","2559",
"1718468291.023","1520",
"1718468291.024","2820",
"1718468291.025","958",
"1718468291.026","623",
"1718468291.027","3262",
"1718468291.028","2224",
"1718468291.029","1892",
"1718468291.03","3083",
"1718468291.031","766",
"1718468291.032","3058",
"1718468291.033","1891",
"1718468291.034","2253",
"1718468291.035","3264",
"1718468291.036","718",
"1718468291.037","1008",
"1718468291.038","2837",
"1718468291.039","1603",
"1718468291.04","2483",
"1718468291.041","3296",
"1718468291.042","576",
"1718468291.043","1193",
"1718468291.044","2559",
"1718468291.045","1235",
"1718468291.046","2761",
"1718468291.047","623",
"1718468291.048","1490",
"1718468291.049","2243",
"1718468291.05","963",
"1718468291.051","3086",
"1718468291.052","3278",
"1718468291.06","752",
"1718468291.062","1895",
"1718468291.063","2786",
"1718468291.064","1275",
"1718468291.065","599",
"1718468291.066","3341",
"1718468291.067","2598",
"1718468291.068","1517",
"1718468291.069","2768",
"1718468291.07","979",
"1718468291.071","642",
"1718468291.072","1492",
"1718468291.073","2224",
"1718468291.074","1003",
"1718468291.075","3006",
"1718468291.076","3218",
"1718468291.077","736",
"1718468291.078","1850",
"1718468291.079","1947",
"1718468291.08","795",
"1718468291.081","3230",
"1718468291.082","3115",
"1718468291.083","887",
"1718468291.084","2145",
"1718468291.085","1631",
"1718468291.086","3328",
"1718468291.087","2833",
"1718468291.088","1168",
"1718468291.089","2492",
"1718468291.09","3374",
"1718468291.091","2583",
"1718468291.092","1501",
"1718468291.093","2804",
"1718468291.094","1072",
"1718468291.095","624",
"1718468291.096","3243",
"1718468291.097","2285",
"1718468291.098","1872",
"1718468291.099","3038",
"1718468291.1","749",
"1718468291.101","3087",
"1718468291.102","1935",
"1718468291.103","2160",
"1718468291.104","3182",
"1718468291.105","697",
"1718468291.106","976",
"1718468291.107","2878",
"1718468291.108","1571",
"1718468291.109","2513",
"1718468291.11","3288",
"1718468291.111","668",
"1718468291.112","1180",
"1718468291.113","2559",
"1718468291.114","1279",
"1718468291.115","2808",
"1718468291.116","678",
"1718468291.117","1546",
"1718468291.118","2291",
"1718468291.119","982",
"1718468291.12","3035",
"1718468291.121","3216",
"1718468291.122","731",
"1718468291.123","1792",
"1718468291.124","1898",
"1718468291.125","838",
"1718468291.126","3219",
"1718468291.127","3121",
"1718468291.128","2128",
"1718468291.129","1595",
"1718468291.13","679",
"1718468291.131","3266",
"1718468291.132","2821",
"1718468291.133","1191",
"1718468291.134","2448",
"1718468291.135","1335",
"1718468291.136","656",
"1718468291.137","3300",
"1718468291.138","2594",
"1718468291.139","1506",
"1718468291.14","2794",
"1718468291.141","1019",
"1718468291.142","616",
"1718468291.143","2299",
"1718468291.144","1859",
