timestamp(ms),var,
"1718468532.122","1693",
"1718468532.123","2186",
"1718468532.124","763",
"1718468532.125","1343",
"1718468532.126","1859",
"1718468532.127","1859",
"1718468532.128","2387",
"1718468532.129","2387",
"1718468532.13","2387",
"1718468532.132","2387",
"1718468532.133","2883",
"1718468532.134","2883",
"1718468532.135","2883",
"1718468532.136","3211",
"1718468532.137","3211",
"1718468532.138","3211",
"1718468532.139","3211",
"1718468532.14","3364",
"1718468532.142","3364",
"1718468532.144","3364",
"1718468532.145","3264",
"1718468532.146","3264",
"1718468532.147","2954",
"1718468532.149","2954",
"1718468532.15","2954",
"1718468532.152","2501",
"1718468532.153","2501",
"1718468532.154","2501",
"1718468532.155","1930",
"1718468532.156","1930",
"1718468532.157","1930",
"1718468532.158","1930",
"1718468532.159","1402",
"1718468532.16","1402",
"1718468532.162","1402",
"1718468532.164","954",
"1718468532.165","954",
"1718468532.167","682",
"1718468532.168","682",
"1718468532.169","682",
"1718468532.171","623",
"1718468532.172","623",
"1718468532.173","623",
"1718468532.174","737",
"1718468532.176","737",
"1718468532.177","1105",
"1718468532.178","1105",
"1718468532.179","1105",
"1718468532.18","1583",
"1718468532.182","1583",
"1718468532.183","1583",
"1718468532.185","2103",
"1718468532.186","2103",
"1718468532.187","2103",
"1718468532.188","2103",
"1718468532.189","2624",
"1718468532.191","2624",
"1718468532.192","2624",
"1718468532.193","3021",
"1718468532.194","3021",
"1718468532.195","3021",
"1718468532.196","3280",
"1718468532.198","3280",
"1718468532.199","3300",
"1718468532.201","3300",
"1718468532.202","3300",
"1718468532.203","3104",
"1718468532.204","3104",
"1718468532.205","3104",
"1718468532.206","3104",
"1718468532.207","2745",
"1718468532.208","2745",
"1718468532.209","2745",
"1718468532.21","2745",
"1718468532.212","2253",
"1718468532.213","2253",
"1718468532.214","2253",
"1718468532.215","1744",
"1718468532.216","1744",
"1718468532.217","1744",
"1718468532.218","1744",
"1718468532.219","1246",
"1718468532.22","1246",
"1718468532.222","843",
"1718468532.223","843",
"1718468532.224","843",
"1718468532.225","843",
"1718468532.227","655",
"1718468532.228","655",
"1718468532.229","645",
"1718468532.23","645",
"1718468532.232","645",
"1718468532.233","871",
"1718468532.234","871",
"1718468532.235","871",
"1718468532.236","1259",
"1718468532.238","1259",
"1718468532.239","1259",
"1718468532.24","1773",
"1718468532.242","1773",
"1718468532.243","1773",
"1718468532.244","1773",
"1718468532.245","2307",
"1718468532.246","2307",
"1718468532.247","2307",
"1718468532.248","2757",
"1718468532.249","2757",
"1718468532.25","2757",
"1718468532.252","3109",
"1718468532.253","3109",
"1718468532.254","3109",
"1718468532.255","3279",
"1718468532.256","3279",
"1718468532.258","3279",
"1718468532.259","3246",
"1718468532.261","3246",
"1718468532.262","3246",
"1718468532.263","3000",
"1718468532.264","3000",
"1718468532.266","3000",
"1718468532.267","2606",
"1718468532.269","2606",
"1718468532.27","2606",
"1718468532.272","2122",
"1718468532.273","2122",
"1718468532.274","1594",
"1718468532.275","1594",
"1718468532.276","1594",
"1718468532.277","1594",
"1718468532.278","1111",
"1718468532.279","1111",
"1718468532.28","1111",
"1718468532.281","1111",
"1718468532.282","784",
"1718468532.283","784",
"1718468532.284","784",
"1718468532.285","784",
"1718468532.286","623",
"1718468532.287","623",
"1718468532.288","623",
"1718468532.289","676",
"1718468532.291","676",
"1718468532.292","676",
"1718468532.293","934",
"1718468532.294","934",
"1718468532.295","934",
"1718468532.296","1372",
"1718468532.297","1372",
"1718468532.298","1372",
"1718468532.299","1372",
"1718468532.3","1927",
"1718468532.302","1927",
"1718468532.303","1927",
"1718468532.305","2447",
"1718468532.307","2447",
"1718468532.308","2935",
"1718468532.309","2935",
"1718468532.311","2935",
"1718468532.312","3249",
"1718468532.313","3249",
"1718468532.314","3249",
"1718468532.315","3344",
"1718468532.316","3344",
"1718468532.317","3344",
"1718468532.318","3344",
"1718468532.319","3229",
"1718468532.32","3229",
"1718468532.322","3229",
"1718468532.324","2889",
"1718468532.326","2448",
"1718468532.327","2448",
"1718468532.328","1920",
"1718468532.33","1920",
"1718468532.332","1408",
"1718468532.333","1408",
"1718468532.334","1408",
"1718468532.335","1408",
"1718468532.337","963",
"1718468532.338","963",
"1718468532.34","688",
"1718468532.342","688",
"1718468532.343","639",
"1718468532.344","639",
"1718468532.345","639",
"1718468532.346","799",
"1718468532.347","799",
"1718468532.348","799",
"1718468532.35","799",
"1718468532.355","1121",
"1718468532.356","1599",
